,Well_Name,allprodmaxindex,allprodcum,allprodquarter,allprodhalf,allprodthreequarter,halfwaydays,threequarterdays,halfdaysdate,Cumsum_OilProd_Norm,Cumsum_OilProd_ERU
203,Kirkwood 43-23 Clarkson,41857,71574.0,136.0,315.0,659.0,179.0,344.0,1979,71574.0,0.0
204,Kirkwood 43-23B WBRRU,74919,670999.5862068963,3144.0,4351.0,6112.0,1207.0,1761.0,1994,61979.0,609020.5862068963
205,Koch  12-13 Graves,52373,132753.20689655162,3232.0,5655.0,7660.0,2423.0,2005.0,1995,132753.20689655162,0.0
206,Koch  12-18 Graves BRRU,46724,599748.551724138,4673.0,6966.0,8738.0,2293.0,1772.0,1997,25635.068965517246,574113.4827586208
207,Koch  12-34 SBRRU,87582,628121.1379310351,3729.0,5792.0,8358.0,2063.0,2566.0,2001,0.0,628121.1379310351
208,Koch  12-36 State WBRRU,51051,24716.000000000004,534.0,1040.0,1953.0,506.0,913.0,1981,21886.379310344822,2829.620689655172
209,Koch 11-16A State,85493,173285.75862068965,1435.0,3617.0,7058.0,2182.0,3441.0,1994,173285.75862068965,0.0
210,Koch 11-4 State Federal SBRRU,51334,198166.17241379287,2727.0,3968.0,5729.0,1241.0,1761.0,1989,35429.724137931036,162736.44827586185
211,Koch 11-8 Gardner Niemi SBRRU,50776,7404.172413793097,242.0,505.0,912.0,263.0,407.0,1980,7208.241379310338,195.9310344827586
212,Koch 12-12 Seppala SBRRU,37345,373896.9310344828,3116.0,3774.0,4268.0,658.0,494.0,1988,69436.65517241383,304460.2758620689
213,Koch 12-13 Seppala SBRRU,37147,26058.689655172402,365.0,995.0,1630.0,630.0,635.0,1980,24307.689655172406,1751.0000000000002
215,Koch 12-18 Seppala SBRRU,42151,13753.793103448277,113.0,365.0,673.0,252.0,308.0,1979,13147.689655172415,606.103448275862
216,Koch 12-2 Haivala Federal SBRRU,37068,122145.17241379309,892.0,3206.0,4027.0,2314.0,821.0,1986,47598.58620689655,74546.58620689657
217,Koch 12-21 BRRU,64414,733704.7931034482,3765.0,6176.0,7648.0,2411.0,1472.0,1998,0.0,733704.7931034482
218,Koch 12-29 SBRRU,85932,629648.2758620689,1976.0,3571.0,5560.0,1595.0,1989.0,1994,0.0,629648.2758620689
219,Koch 12-3 State SBRRU,33066,25625.172413793112,184.0,449.0,1044.0,265.0,595.0,1978,25571.310344827594,53.86206896551724
220,Koch 12-30 SBRRU,97641,411284.62068965525,3600.0,6209.0,8268.0,2609.0,2059.0,2006,0.0,411284.62068965525
221,Koch 12-35 SBRRU,91016,1057198.6206896552,3610.0,5085.0,6422.0,1475.0,1337.0,1999,0.0,1057198.6206896552
223,Koch 12-9 BRRU,57804,638825.206896552,3624.0,5694.0,7295.0,2070.0,1601.0,1996,0.0,638825.206896552
224,Koch 14-1 Haivala Seppala SBRRU,38296,697846.3793103448,4069.0,6541.0,8405.0,2472.0,1864.0,1996,76839.17241379307,621007.2068965517
225,Koch 14-12 Seppala SBRRU,34944,480228.5172413793,4657.0,6986.0,8832.0,2329.0,1846.0,1996,50003.344827586196,430225.17241379316
226,Koch 14-17 BRRU,58558,969682.1724137948,1506.0,4122.0,5414.0,2616.0,1292.0,1992,0.0,969682.1724137948
227,Koch 14-18 BRRU,73059,186803.0689655173,1383.0,2303.0,3395.0,920.0,1092.0,1989,0.0,186803.0689655173
228,Koch 14-21 BRRU,65849,417750.10344827594,2149.0,4149.0,4817.0,2000.0,668.0,1993,0.0,417750.10344827594
229,Koch 14-26 SBRRU,97065,410590.1724137933,2262.0,3752.0,4967.0,1490.0,1215.0,1998,0.0,410590.1724137933
230,Koch 14-29 SBRRU,87133,319875.9310344829,1308.0,2727.0,3934.0,1419.0,1207.0,1992,0.0,319875.9310344829
231,Koch 14-2A Tilus SBRRU,31037,886118.689655172,5456.0,8241.0,10492.0,2785.0,2251.0,1999,60736.448275862065,825382.2413793101
232,Koch 14-30 SBRRU,98329,803282.6896551723,3380.0,5373.0,6752.0,1993.0,1379.0,2004,0.0,803282.6896551723
233,Koch 14-34 SBRRU,32104,873008.4482758619,4822.0,6060.0,7260.0,1238.0,1200.0,1994,48513.034482758594,824495.4137931032
